date_range_start,date_range_end,placekey,sg_wp__parent_placekey,sg_wp__location_name,sg_wp__street_address,sg_wp__city,sg_wp__region,sg_wp__postal_code,sg_wp__iso_country_code,sg_wp__safegraph_brand_ids,sg_wp__brands,sg_wp__date_range_start,sg_wp__date_range_end,sg_wp__raw_visit_counts,sg_wp__raw_visitor_counts,sg_wp__visits_by_day,sg_wp__visits_by_each_hour,sg_wp__poi_cbg,sg_wp__visitor_home_cbgs,sg_wp__visitor_home_aggregation,sg_wp__visitor_daytime_cbgs,sg_wp__visitor_country_of_origin,sg_wp__distance_from_home,sg_wp__median_dwell,sg_wp__bucketed_dwell_times,sg_wp__related_same_day_brand,sg_wp__related_same_week_brand,sg_wp__device_type,sg_wp__normalized_visits_by_state_scaling,sg_wp__normalized_visits_by_total_visits,sg_wp__normalized_visits_by_total_visitors,sg_wp__normalized_visits_by_region_naics_visits,sg_wp__normalized_visits_by_region_naics_visitors,sg_c__parent_placekey,sg_c__location_name,sg_c__safegraph_brand_ids,sg_c__brands,sg_c__top_category,sg_c__sub_category,sg_c__naics_code,sg_c__latitude,sg_c__longitude,sg_c__street_address,sg_c__city,sg_c__region,sg_c__postal_code,sg_c__iso_country_code,sg_c__phone_number,sg_c__open_hours,sg_c__category_tags,sg_c__opened_on,sg_c__closed_on,sg_c__tracking_closed_since,sg_c__geometry_type
2020-01-27,2020-02-03,222-223@8gg-r3f-syv,,Bees Beans,205 Hampton Ave,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,8,8,"[0,0,2,1,4,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770105022,"{""450770104024"":4,""450770103001"":4,""450770104012"":4}","{""45077010300"":4}","{""450770102001"":4,""450770105022"":4,""450770103003"":4}","{""US"":9}",6761.0,7.5,"{""<5"":2,""5-10"":4,""11-20"":1,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}","{""Walmart"":25,""Goodwill Industries"":13,""Harbor Freight Tools"":13,""GameStop"":13,""Dollar General"":13,""HotSpot"":13,""Stage Stores"":13,""Applebee's"":13,""rue21"":13,""Burger King"":13,""Pizza Inn"":13,""McDonald's"":13}","{""McDonald's"":38,""Walmart"":25,""Simon mall"":25,""Goodwill Industries"":25,""Taco Bell"":25,""QuikTrip"":25,""Applebee's"":25,""rue21"":25,""Ruby Thai Kitchen"":25,""Circle K Gas"":13,""2nd and Charles"":13,""Sonic"":13,""Yard House"":13,""Cook Out"":13,""Christmas Tree Shops"":13,""Barnes and Noble"":13,""Jersey Mike's"":13,""Ross Stores"":13,""Eggs Up Grill"":13,""Harbor Freight Tools"":13}","{""android"":0,""ios"":5}",,,,,,,Bees Beans,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,34.883112,-82.702782,205 Hampton Ave,Pickens,SC,29671.0,US,,,Coffee Shop,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,222-222@8gg-qxn-p5f,,Xpress Lube of Pickens,2230 Gentry Memorial Hwy,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,13,13,"[8,0,2,1,1,1,0]","[0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104031,"{""450770103002"":4,""450770108033"":4}","{""45077010402"":4,""45007010103"":4,""45077010100"":4}","{""450770109023"":4,""450770101002"":4,""450770105022"":4,""450770103002"":4}","{""US"":12}",10973.0,29.0,"{""<5"":0,""5-10"":1,""11-20"":2,""21-60"":8,""61-120"":2,""121-240"":0,"">240"":0}","{""Walmart"":38,""Ace Hardware"":15,""Walgreens"":15,""Target"":8,""CSL Plasma"":8,""Stop-A-Minit"":8,""Wendy's"":8,""UCBI"":8,""Chick-fil-A"":8,""Wells Fargo"":8,""Zaxby's"":8,""Burger King"":8,""Bojangles'"":8,""Spinx"":8,""Dollar Tree"":8,""Family Dollar Stores"":8}","{""Walmart"":54,""Dollar Tree"":31,""Dollar General"":15,""Ace Hardware"":15,""Zaxby's"":15,""Walgreens"":15,""Spinx"":15,""Sonic"":8,""Cabela's"":8,""Kawasaki Motors"":8,""Target"":8,""CSL Plasma"":8,""Cook Out"":8,""Stop-A-Minit"":8,""Olive Garden"":8,""Lowe's"":8,""GameStop"":8,""Wendy's"":8,""Academy Sports + Outdoors"":8,""UCBI"":8}","{""android"":8,""ios"":4}",,,,,,,Xpress Lube of Pickens,,,Automotive Repair and Maintenance,General Automotive Repair,811111.0,34.860114,-82.67649,2230 Gentry Memorial Hwy,Pickens,SC,29671.0,US,,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,227-222@8gg-r3b-dvz,,All Seasons Counseling and Mediation Services,208 Garvin St,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,8,6,"[1,1,0,2,3,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104025,"{""450730302002"":4,""450770104024"":4}","{""45077010804"":4,""45073030200"":4}","{""450770104025"":4,""450770108041"":4,""450770104021"":4,""450770104022"":4}","{""US"":6}",5886.0,59.5,"{""<5"":0,""5-10"":4,""11-20"":0,""21-60"":0,""61-120"":1,""121-240"":2,"">240"":1}","{""Ingles Markets"":13,""UCBI"":13,""CITGO"":13,""Subway"":13}","{""Petco"":17,""Walmart"":17,""Murphy USA"":17,""Taco Bell"":17,""KFC"":17,""Hobby Lobby Stores"":17,""Michaels Stores"":17,""7-Eleven"":17,""Dollar General"":17,""UCBI"":17,""Bellacino's"":17,""Chick-fil-A"":17,""Applebee's"":17,""rue21"":17,""Ingles Markets"":17,""CVS"":17,""CITGO"":17,""Shell Oil"":17,""Subway"":17}","{""android"":4,""ios"":0}",,,,,,,All Seasons Counseling and Mediation Services LLC,,,"Justice, Public Order, and Safety Activities",Police Protection,922120.0,34.882217,-82.708774,208 Garvin St,Pickens,SC,29671.0,US,,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,224-222@8gg-r3b-gff,,Grace United Methodist Church,309 E Cedar Rock St,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,23,19,"[1,2,6,1,1,1,11]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770105022,"{""450770107003"":5,""450770104024"":4,""450770102002"":4,""450770104023"":4,""450770103001"":4}","{""45077010300"":4,""45077010501"":4,""45077010402"":4,""45077010700"":4}","{""450770106011"":7,""450770107003"":5,""450770104031"":4}","{""US"":17}",4380.0,68.0,"{""<5"":1,""5-10"":2,""11-20"":4,""21-60"":4,""61-120"":7,""121-240"":5,"">240"":0}","{""CVS"":14,""Walmart"":9,""Goodwill Industries"":9,""Walgreens"":9,""Ingles Markets"":9,""McDonald's"":9,""Bojangles'"":9,""Cracker Barrel"":5,""Firehouse Subs"":5,""Dollar Tree"":5}","{""Walmart"":53,""McDonald's"":32,""Chick-fil-A"":26,""Walgreens"":26,""Bojangles'"":26,""Ingles Markets"":21,""CVS"":21,""Belk"":16,""Lowe's"":16,""Zaxby's"":16,""Dollar Tree"":16,""Fairfield Inn & Suites by Marriott"":11,""Goodwill Industries"":11,""76"":11,""Academy Sports + Outdoors"":11,""Ace Hardware"":11,""Wells Fargo"":11,""United States Postal Service (USPS)"":11,""Marshalls"":11,""Pizza Inn"":11}","{""android"":6,""ios"":13}",,,,,,,Grace United Methodist Church,,,Religious Organizations,Religious Organizations,813110.0,34.883451,-82.704751,309 E Cedar Rock St,Pickens,SC,29671.0,US,18648782161.0,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,222-222@8gg-r49-yn5,,Discount Grocery,2522 Walhalla Hwy,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,2,2,"[1,1,0,0,0,0,0]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770102001,"{""450770111024"":4}",{},"{""450450037042"":4}","{""US"":5}",,7.0,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":0}",,,,,,,Discount Grocery,,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110.0,34.847192,-82.807845,2522 Walhalla Hwy,Pickens,SC,29671.0,US,18648680199.0,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,224-222@8gg-r3b-dy9,,Carolina Hobby & Craft Supply,127 W Main St,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,98,71,"[37,37,16,4,1,3,0]","[3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,4,6,1,2,4,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,6,8,3,3,5,2,2,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104025,"{""450770104025"":14,""450770104012"":11,""450770104023"":7,""450770110011"":6,""450770102002"":4,""450770103001"":4,""450770104031"":4}","{""45077010402"":23,""45077010401"":9,""45077010502"":5,""45077010602"":4,""45077010300"":4,""45045001700"":4,""45077010200"":4,""45077010403"":4}","{""450770104012"":12,""450770104023"":7,""450770110011"":4,""450770112022"":4,""190570010001"":4,""450770104024"":4,""160179502004"":4,""450770104031"":4,""450770104022"":4,""450770104025"":4}","{""US"":64}",4616.0,32.0,"{""<5"":2,""5-10"":17,""11-20"":20,""21-60"":20,""61-120"":11,""121-240"":10,"">240"":18}","{""McDonald's"":3,""Walmart"":2,""ULTA Beauty"":1,""Target"":1,""Wild Wing Cafe"":1,""Domino's Pizza"":1,""The Home Depot"":1,""Dollar General"":1,""Chick-fil-A"":1,""Hardee's"":1,""SunTrust Banks"":1,""Marshalls"":1,""Ingles Markets"":1,""Publix Super Markets"":1,""CITGO"":1,""Marathon"":1,""Sam's Club"":1,""Spinx"":1,""Shell Oil"":1,""Subway"":1}","{""Walmart"":13,""McDonald's"":11,""Ingles Markets"":7,""Chick-fil-A"":6,""Spinx"":6,""Outback Steakhouse"":6,""Taco Bell"":4,""NAPA Auto Parts"":4,""O'Reilly Auto Parts"":4,""Hardee's"":4,""Cracker Barrel"":4,""CVS"":4,""AutoZone"":4,""Shell Oil"":4,""Chevrolet"":3,""ULTA Beauty"":3,""Target"":3,""Cook Out"":3,""BP"":3,""Lowe's"":3}","{""android"":23,""ios"":52}",,,,,,,Carolina Hobby & Craft Supply,,,"Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores",451120.0,34.882852,-82.70951,127 W Main St,Pickens,SC,29671.0,US,18648789566.0,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,223-223@8gg-qhd-k9f,,Pickens View Wesleyan Church,744 Bethlehem Ridge Rd,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,13,9,"[0,0,6,0,0,0,7]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104031,"{""450770108033"":4}","{""45077010300"":6,""45077010803"":4,""45077010802"":4,""45077010402"":4}","{""450770108032"":4,""450770104023"":4}","{""US"":11}",7246.0,54.0,"{""<5"":0,""5-10"":1,""11-20"":2,""21-60"":4,""61-120"":4,""121-240"":2,"">240"":0}","{""Christmas Tree Shops"":18,""Wendy's"":18,""HotSpot"":18,""Sam's Club"":18,""Walmart"":9,""Stop-A-Minit"":9,""Sam's Club Fuel Center"":9,""Ingles Markets"":9}","{""Walmart"":44,""Wendy's"":44,""Ingles Markets"":33,""Christmas Tree Shops"":22,""HotSpot"":22,""Sam's Club Fuel Center"":22,""CrossFit"":22,""Roses"":22,""Burger King"":22,""Sam's Club"":22,""BI-LO"":11,""Cook Out"":11,""Stop-A-Minit"":11,""Icing"":11,""Simon mall"":11,""Taco Bell"":11,""PetSmart"":11,""Starbucks"":11,""Prisma Health"":11,""Chick-fil-A"":11}","{""android"":7,""ios"":0}",,,,,,,Pickens View Wesleyan Church,,,Religious Organizations,Religious Organizations,813110.0,34.861355,-82.683355,744 Bethlehem Ridge Rd,Pickens,SC,29671.0,US,18648782324.0,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,225-224@8gg-r3f-w8v,,Dollar General,310 Hampton Ave,Pickens,SC,29671,US,SG_BRAND_a4efb9d8ddf0f71207d49f713c5bc1e9,Dollar General,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,62,19,"[15,7,12,14,6,5,3]","[0,0,0,0,0,0,2,1,2,0,0,3,0,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,1,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770105022,"{""450770105022"":4,""450770107003"":4,""450450017002"":4}","{""45077010502"":4,""45077010200"":4,""45007012001"":4,""45077010700"":4}","{""450770107001"":4,""450770105022"":4,""450070120011"":4}","{""US"":16}",14441.0,82.0,"{""<5"":0,""5-10"":11,""11-20"":4,""21-60"":10,""61-120"":12,""121-240"":13,"">240"":12}","{""Walmart"":16,""Simon mall"":8,""McDonald's"":8,""AutoZone"":5,""Advance Auto Parts"":3,""Chevrolet"":3,""Verizon Wireless"":3,""Mandarin Express Gourmet Chinese"":3,""FATZ"":3,""Reeds Jewelers"":3,""Cadillac"":3,""Lowe's"":3,""Hobby Lobby Stores"":3,""Wendy's"":3,""HotSpot"":3,""Buick"":3,""Palmetto Moon"":3,""Chick-fil-A"":3,""GMC (General Motors Company)"":3,""CVS"":3}","{""Walmart"":42,""McDonald's"":32,""Ingles Markets"":26,""Simon mall"":16,""Arby's"":16,""Advance Auto Parts"":11,""Chevrolet"":11,""Stop-A-Minit"":11,""Cadillac"":11,""Popeyes Louisiana Kitchen"":11,""HotSpot"":11,""Buick"":11,""QuikTrip"":11,""Palmetto Moon"":11,""GMC (General Motors Company)"":11,""CVS"":11,""YMCA"":11,""AutoZone"":11,""LongHorn Steakhouse"":11,""Sam's Club"":11}","{""android"":15,""ios"":4}",,,,,,,Dollar General,SG_BRAND_a4efb9d8ddf0f71207d49f713c5bc1e9,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319.0,34.880976,-82.703528,310 Hampton Ave,Pickens,SC,29671.0,US,18643970085.0,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""8:00"", ""21:00""]] }",,,,2020-05-11,POLYGON
2020-01-27,2020-02-03,zzw-222@8gg-r3h-92k,,Northside Baptist Church,421 Sangamo Rd,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,1,1,"[0,0,1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450770104023,{},"{""45077010300"":4}","{""450770105022"":4}",{},,10.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":0}",{},{},"{""android"":0,""ios"":4}",,,,,,,Northside Baptist Church,,,Religious Organizations,Religious Organizations,813110.0,34.896323,-82.71707,421 Sangamo Rd,Pickens,SC,29671.0,US,,,,,,2019-07-01,POLYGON
2020-01-27,2020-02-03,22d-222@8gg-r3b-hbk,,Coyote Coffee Cafe Pickens,104 E Main St,Pickens,SC,29671,US,,,2020-01-27T00:00:00-05:00,2020-02-03T00:00:00-05:00,209,109,"[34,35,38,33,50,10,9]","[0,0,0,0,0,0,0,4,9,4,2,4,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,1,2,4,2,7,3,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,4,9,3,1,1,1,4,2,3,6,0,0,2,0,0,1,0,0,0,0,0,0,1,0,6,10,4,1,1,4,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,5,8,3,4,6,4,11,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,1,0,0,2,0,0,0,0,0,0]",450770104025,"{""450770107003"":7,""450770110011"":5,""450770103002"":4,""450770105012"":4,""450770105021"":4,""450770109023"":4,""450770103003"":4,""450770101001"":4,""450770103001"":4,""450770106021"":4,""450450030131"":4,""450770108021"":4,""450599201033"":4,""450770104024"":4,""450770104031"":4,""450770102002"":4,""450450024031"":4,""450770105011"":4,""450770104011"":4,""450850009022"":4}","{""45077010300"":10,""45077010402"":10,""45007010103"":9,""45077010700"":5,""45077010501"":5,""45007010104"":5,""45077011001"":5,""45007010600"":4,""45077010403"":4,""45077010200"":4,""45059920103"":4,""45045002403"":4,""45077010100"":4,""45077010804"":4,""45077010802"":4,""37111970700"":4,""45007011901"":4,""45085000902"":4,""45077011203"":4,""45077011002"":4,""45045002606"":4,""45077010902"":4,""45077010502"":4,""45077010801"":4}","{""450770110024"":6,""450770107003"":6,""450770105022"":5,""450770104024"":5,""450770104025"":5,""450770104031"":4,""450070106003"":4,""450030219001"":4,""450770103002"":4,""450070101023"":4,""450770104021"":4,""450770107002"":4,""450770110011"":4,""450770103001"":4,""450770103003"":4,""450450038013"":4,""450070101043"":4,""450070119012"":4,""450770105012"":4,""450070123001"":4,""450450015011"":4,""450770111023"":4,""450450020011"":4}","{""US"":105}",12702.0,82.0,"{""<5"":0,""5-10"":21,""11-20"":16,""21-60"":50,""61-120"":36,""121-240"":48,"">240"":38}","{""Walmart"":9,""Chick-fil-A"":6,""Ingles Markets"":6,""Domino's Pizza"":5,""McDonald's"":4,""PetSmart"":3,""Zaxby's"":3,""CVS"":3,""Bojangles'"":3,""Spinx"":3,""Cook Out"":2,""QuikTrip"":2,""Walgreens"":2,""Pizza Inn"":2,""Shell Oil"":2,""Stop-A-Minit"":2,""Simon mall"":2,""Taco Bell"":2,""Wendy's"":2,""YMCA"":2}","{""Walmart"":40,""Chick-fil-A"":21,""Ingles Markets"":21,""McDonald's"":20,""Zaxby's"":17,""Spinx"":17,""Domino's Pizza"":14,""Starbucks"":14,""PetSmart"":10,""QuikTrip"":10,""CVS"":10,""Bojangles'"":10,""Simon mall"":9,""Stop-A-Minit"":8,""Dollar General"":8,""HotSpot"":8,""Cook Out"":7,""Pizza Inn"":7,""BP"":6,""Lowe's"":6}","{""android"":40,""ios"":67}",,,,,,,Coyote Coffee Cafe Pickens,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515.0,34.883475,-82.70744,104 E Main St,Pickens,SC,29671.0,US,18645073378.0,,,,,2019-07-01,POLYGON
